id,type,n,m,algorithm,status,match_size,expected,message
DP-V1,empty,10,0,greedy,PASS,0,0,
DP-V1,empty,10,0,ranking,PASS,0,0,
DP-V1,empty,10,0,hopcroft_karp,PASS,0,0,
DP-V2,single_edge,10,1,greedy,PASS,1,1,
DP-V2,single_edge,10,1,ranking,PASS,1,1,
DP-V2,single_edge,10,1,hopcroft_karp,PASS,1,1,
DP-V3,disconnected,4,8,greedy,PASS,4,4,
DP-V3,disconnected,4,8,ranking,PASS,4,4,
DP-V3,disconnected,4,8,hopcroft_karp,PASS,4,4,
DP-V4,complete,10,100,greedy,PASS,10,10,
DP-V4,complete,10,100,ranking,PASS,10,10,
DP-V4,complete,10,100,hopcroft_karp,PASS,10,10,
DP-V5,z_trap,10,15,greedy,PASS,5,5,
DP-V5,z_trap,10,15,ranking,PASS,7,N/A,
DP-V5,z_trap,10,15,hopcroft_karp,PASS,10,10,
